temperature,vdd,script,V_1v5(V),I_1v5(A),V_3v(V),I_3v(A)
27,LV,LDOen_Wfm_80211g0_Acw_na_PolarTX_2412_python.csv,1.449,0.081,2.900,0.1126
27,LV,LDOen_Wfm_80211g0_Acw_na_PolarTX_2437_python.csv,1.449,0.081,2.900,0.1131
27,LV,LDOen_Wfm_80211g0_Acw_na_PolarTX_2462_python.csv,1.449,0.084,2.900,0.1126
27,LV,LDOen_Wfm_80211g7_Acw_na_PolarTX_2412_python.csv,1.449,0.081,2.900,0.1082
27,LV,LDOen_Wfm_80211g7_Acw_na_PolarTX_2437_python.csv,1.449,0.081,2.900,0.1076
27,LV,LDOen_Wfm_80211g7_Acw_na_PolarTX_2462_python.csv,1.449,0.081,2.900,0.1076
27,LV,LDOen_Wfm_80211n0_Acw_na_PolarTX_2422_python.csv,1.449,0.081,2.900,0.1126
27,LV,LDOen_Wfm_80211n0_Acw_na_PolarTX_2462_python.csv,1.449,0.084,2.900,0.1115
27,LV,LDOen_Wfm_80211n7_Acw_na_PolarTX_2422_python.csv,1.449,0.081,2.900,0.1082
27,LV,LDOen_Wfm_80211n7_Acw_na_PolarTX_2462_python.csv,1.449,0.081,2.900,0.1082
27,LV,LDOen_Wfm_80211b3_Acw_na_PolarTX_2412_python.csv,1.449,0.081,2.900,0.3571
27,LV,LDOen_Wfm_80211b3_Acw_na_PolarTX_2437_python.csv,1.449,0.081,2.900,0.3533
27,LV,LDOen_Wfm_80211b3_Acw_na_PolarTX_2462_python.csv,1.449,0.081,2.900,0.3538
27,LV,LDOen_Wfm_80211b3_Acw_na_PolarTX_2484_python.csv,1.449,0.084,2.900,0.3522
27,NV,LDOen_Wfm_80211g0_Acw_na_PolarTX_2412_python.csv,1.497,0.089,3.002,0.1147
27,NV,LDOen_Wfm_80211g0_Acw_na_PolarTX_2437_python.csv,1.497,0.089,3.002,0.1164
27,NV,LDOen_Wfm_80211g0_Acw_na_PolarTX_2462_python.csv,1.497,0.089,3.002,0.1164
27,NV,LDOen_Wfm_80211g7_Acw_na_PolarTX_2412_python.csv,1.497,0.089,3.002,0.1115
27,NV,LDOen_Wfm_80211g7_Acw_na_PolarTX_2437_python.csv,1.497,0.089,3.002,0.1115
27,NV,LDOen_Wfm_80211g7_Acw_na_PolarTX_2462_python.csv,1.497,0.089,3.002,0.1104
27,NV,LDOen_Wfm_80211n0_Acw_na_PolarTX_2422_python.csv,1.497,0.089,3.002,0.1169
27,NV,LDOen_Wfm_80211n0_Acw_na_PolarTX_2462_python.csv,1.497,0.089,3.002,0.1147
27,NV,LDOen_Wfm_80211n7_Acw_na_PolarTX_2422_python.csv,1.497,0.089,3.002,0.1131
27,NV,LDOen_Wfm_80211n7_Acw_na_PolarTX_2462_python.csv,1.497,0.089,3.002,0.1104
27,NV,LDOen_Wfm_80211b3_Acw_na_PolarTX_2412_python.csv,1.497,0.089,3.002,0.3708
27,NV,LDOen_Wfm_80211b3_Acw_na_PolarTX_2437_python.csv,1.497,0.089,3.002,0.3675
27,NV,LDOen_Wfm_80211b3_Acw_na_PolarTX_2462_python.csv,1.497,0.089,3.002,0.3544
27,NV,LDOen_Wfm_80211b3_Acw_na_PolarTX_2484_python.csv,1.497,0.089,3.002,0.3631
27,HV,LDOen_Wfm_80211g0_Acw_na_PolarTX_2412_python.csv,1.546,0.098,3.090,0.1202
27,HV,LDOen_Wfm_80211g0_Acw_na_PolarTX_2437_python.csv,1.546,0.098,3.090,0.1197
27,HV,LDOen_Wfm_80211g0_Acw_na_PolarTX_2462_python.csv,1.546,0.098,3.090,0.1186
27,HV,LDOen_Wfm_80211g7_Acw_na_PolarTX_2412_python.csv,1.546,0.098,3.090,0.1153
27,HV,LDOen_Wfm_80211g7_Acw_na_PolarTX_2437_python.csv,1.546,0.098,3.090,0.1126
27,HV,LDOen_Wfm_80211g7_Acw_na_PolarTX_2462_python.csv,1.546,0.098,3.090,0.1136
27,HV,LDOen_Wfm_80211n0_Acw_na_PolarTX_2422_python.csv,1.546,0.098,3.090,0.1202
27,HV,LDOen_Wfm_80211n0_Acw_na_PolarTX_2462_python.csv,1.546,0.098,3.090,0.1197
27,HV,LDOen_Wfm_80211n7_Acw_na_PolarTX_2422_python.csv,1.546,0.098,3.090,0.1147
27,HV,LDOen_Wfm_80211n7_Acw_na_PolarTX_2462_python.csv,1.546,0.098,3.090,0.1164
27,HV,LDOen_Wfm_80211b3_Acw_na_PolarTX_2412_python.csv,1.546,0.098,3.090,0.3795
27,HV,LDOen_Wfm_80211b3_Acw_na_PolarTX_2437_python.csv,1.546,0.098,3.090,0.3784
27,HV,LDOen_Wfm_80211b3_Acw_na_PolarTX_2462_python.csv,1.546,0.098,3.090,0.3708
27,HV,LDOen_Wfm_80211b3_Acw_na_PolarTX_2484_python.csv,1.546,0.098,3.090,1.6666
