 temperature, V_1v5_V
27.0, 1.546
27.0, 1.546
27.0, 1.546
27.0, 1.546
27.0, 1.546
27.0, 1.546
27.0, 1.546
27.0, 1.546
27.0, 1.546
27.0, 1.546
27.0, 1.546
27.0, 1.546
27.0, 1.546
27.0, 1.546
27.0, 1.449
27.0, 1.449
27.0, 1.449
27.0, 1.449
27.0, 1.449
27.0, 1.449
27.0, 1.449
27.0, 1.449
27.0, 1.449
27.0, 1.449
27.0, 1.449
27.0, 1.449
27.0, 1.449
27.0, 1.449
27.0, 1.497
27.0, 1.497
27.0, 1.497
27.0, 1.497
27.0, 1.497
27.0, 1.497
27.0, 1.497
27.0, 1.497
27.0, 1.497
27.0, 1.497
27.0, 1.497
27.0, 1.497
27.0, 1.497
27.0, 1.497
